investor_a,investor_b,total_coinvestments
c97fe16e-915f-4fb7-8b11-e7f462e167f2,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
0f294eaf-04d2-778c-adca-ef9680b44b6b,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
9d333c75-2111-483a-adb5-999c08587d4c,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
ea5d9043-c7ae-47b1-978a-e567e04d26f6,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
1958e5fb-f808-c866-81b4-c6e27f77edd4,d7ec5b06-0668-4369-8237-b62ed3ff9958,1
1958e5fb-f808-c866-81b4-c6e27f77edd4,c27dc4dd-14ba-f4a5-8596-b5c303001e13,1
11225da1-5d73-8435-2d6c-bc93939a27d0,1958e5fb-f808-c866-81b4-c6e27f77edd4,1
32bd7e22-39d4-6e43-2b20-8482d97cb9bf,e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,1
1958e5fb-f808-c866-81b4-c6e27f77edd4,482ba6b8-aae4-4cee-b34e-de75aeef73b0,1
5aaa7604-fb12-4770-b9fb-0a426ee01f2c,d8afd346-6d63-4cc4-8c01-393e4159c032,1
1b183d55-e392-465f-95d7-e249291b7a14,d8afd346-6d63-4cc4-8c01-393e4159c032,1
94c2fe47-ad3d-d5ff-0e79-27bcfa5db658,9a2491ee-19cb-4f22-bcf3-44405a848c68,1
c771f3e0-2850-44f0-9f12-b9eda79c7ef5,d8afd346-6d63-4cc4-8c01-393e4159c032,1
800c2a67-fee3-4a18-85d3-3db20eafb007,d8afd346-6d63-4cc4-8c01-393e4159c032,1
65453fa9-443d-582c-4e49-6dd46023f835,d393cfa6-856a-4fb0-8847-a668d0e947fc,1
2dd1f37a-686e-528f-d33c-f9e3978c0257,d0b2235c-1751-46e5-a79d-ea202a204741,1
3d0f359b-c0c7-4edb-a9b1-84ec2698126b,7a8850e7-1b31-797d-f349-bec6d7c72b79,1
7a8850e7-1b31-797d-f349-bec6d7c72b79,de1d1685-08dc-d3f6-49a4-d011d5dfcd09,1
2e6f440d-da18-2e20-af9b-7ddb361792d2,7cfe3c7f-45f5-1023-ec5a-265a0cfe1303,1
03b42ed6-3924-4e43-96a2-4287414778c3,d8afd346-6d63-4cc4-8c01-393e4159c032,1
10f6f4f1-d1d0-4147-2383-ec0062cccd7f,2e6f440d-da18-2e20-af9b-7ddb361792d2,1
2e6f440d-da18-2e20-af9b-7ddb361792d2,b804fd83-fbb4-29c0-8933-511e561d258f,1
59e53cb8-74ea-4dd4-8156-3a76ffbaad23,6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,1
7a8850e7-1b31-797d-f349-bec6d7c72b79,7e832cdf-c4eb-4194-96af-bebfd89ac523,1
0603fb41-7bc1-419d-8c93-49e4c63af4de,6302eacd-fd48-bbcd-47f3-2f226fca1927,1
39f24f46-70c3-ed28-1206-705592ce324d,f71d882c-4468-3eb8-cc9f-287958399cb0,1
aa978289-a0e0-8e2d-9db1-537203f28e62,e20b7d7e-cc35-4614-9702-5feb165dd01c,1
0603fb41-7bc1-419d-8c93-49e4c63af4de,39afd544-e7f4-40fa-88a6-e05333d68f79,1
91bca022-0bb3-4091-b93f-4c47f57e1077,ef0a0674-d0a5-12da-60d5-42090e4a5077,1
3ef0db7f-d179-40c1-8c2c-b0cecc1abbd4,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
15daf6ec-dd2e-4157-90df-3c8658563ee0,a1b09f96-40b7-83aa-7358-e6404c539c2a,1
8ea0320e-0bbe-9fca-f9f8-1a93a9492482,9ae758eb-93b6-4f26-a447-f60893aa3fef,1
7ce55ebd-8296-4458-3e8c-a8b93715ddaf,b69419e2-81a6-6608-8331-f685d8341a6a,1
236dcf0c-1e1f-d322-ada6-d357108bfb55,428cda14-762a-47c1-9b14-f5c65d69e326,1
b69419e2-81a6-6608-8331-f685d8341a6a,bc20dd64-1a93-4b86-8690-e7048a1c7195,1
bfef9258-c18e-d0b7-dbba-d7881625d8ca,fa3702d1-7892-f7b0-2b56-e2fda660b8d1,1
992f742c-088b-8cca-35c7-7423f92e9352,aa978289-a0e0-8e2d-9db1-537203f28e62,1
aa978289-a0e0-8e2d-9db1-537203f28e62,dcd0b094-a90f-a5c0-76fc-da249089f621,1
09a016a2-e79b-a4c0-74ae-dca81b47d553,ae788d4a-ad06-4b89-9ddb-7587cbc31760,1
34a9bb66-0984-8de0-e7fb-13e976b4a135,dfc56abe-c5e3-0e2e-a4ee-b74ef3e7458d,1
2be0e7b3-cfef-a447-4555-85d60dcfd8ec,aa978289-a0e0-8e2d-9db1-537203f28e62,1
44a3b168-f566-4d32-a4a8-81d528f9bae2,aa978289-a0e0-8e2d-9db1-537203f28e62,1
34a9bb66-0984-8de0-e7fb-13e976b4a135,7dea0da9-e73c-3fe5-46cf-2a926fa72485,1
841a9e9f-cb5e-e9a9-c45b-0c5ee9defd27,aa978289-a0e0-8e2d-9db1-537203f28e62,1
34a9bb66-0984-8de0-e7fb-13e976b4a135,4b1e37f7-4a98-41c5-99a9-621f87f9f2f0,1
31347188-54c1-458f-8c09-d6c3c5a2a895,aa978289-a0e0-8e2d-9db1-537203f28e62,1
