investor_uuid,investor_name,investment_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,proportional_broad_diversity,proportional_specific_diversity,weighted_success_rate,diversity_bucket,success_bucket
56240d7d-a48a-a683-bee7-fe39ddb1bc36,Adam Rothenberg,1,2019,1,3,0.1111111111111111,1.0,1.0,1.0,0.45454545454545453,0.0025575447570332483,0.020546177976344056,1.0,3.0,0.9375,Universalist,L1
8ea0320e-0bbe-9fca-f9f8-1a93a9492482,Doug Kimmelman,1,2020,2,2,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.008460190931435789,2.0,2.0,0.9375,Universalist,L1
9ae758eb-93b6-4f26-a447-f60893aa3fef,Peter Lee,1,2020,2,2,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.008460190931435789,2.0,2.0,0.9375,Universalist,L1
a1b09f96-40b7-83aa-7358-e6404c539c2a,Charles Yu,1,2019,1,3,0.1111111111111111,1.0,1.0,1.0,0.45454545454545453,0.0025575447570332483,0.020546177976344056,1.0,3.0,0.9375,Universalist,L1
11225da1-5d73-8435-2d6c-bc93939a27d0,Richard Craib,1,2020,2,3,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.020546177976344056,2.0,3.0,0.9375,Universalist,L1
482ba6b8-aae4-4cee-b34e-de75aeef73b0,Sofreh Capital,1,2020,2,3,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.020546177976344056,2.0,3.0,0.9375,Universalist,L1
d7ec5b06-0668-4369-8237-b62ed3ff9958,Pronomos,1,2020,2,3,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.020546177976344056,2.0,3.0,0.9375,Universalist,L1
32bd7e22-39d4-6e43-2b20-8482d97cb9bf,Eastward Capital Partners,1,2019,2,3,0.1111111111111111,1.0,1.0,1.0,0.45454545454545453,0.017902813299232736,0.020546177976344056,2.0,3.0,0.9375,Universalist,L1
c27dc4dd-14ba-f4a5-8596-b5c303001e13,Riva-Melissa Tez,1,2020,2,3,0.1111111111111111,1.0,1.0,1.0,0.36363636363636365,0.017902813299232736,0.020546177976344056,2.0,3.0,0.9375,Universalist,L1
10f6f4f1-d1d0-4147-2383-ec0062cccd7f,Paul VanderMarck,1,2021,2,5,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.017902813299232736,0.059221336520050516,2.0,5.0,0.9375,Universalist,L1
