investor_uuid,investor_name
9dd82e88-bd95-5c00-5337-d048fbb13f41,Michael Spiegelman
dee35616-ff9d-49d4-ba3f-980df1cd7a38,GLOCAL
534d22e7-f574-7ff0-2eee-67310a035b53,Adeel Nazir
3e7bfd96-47e7-2e05-ebce-9c335a3dfdd1,3R Family Trust
1c0f0a59-a9a4-4486-9444-85e315721b8f,Atal Incubation Centre - Shiv Nadar University
4710cdd6-d892-39ad-c10a-fe217e5cb7ca,SBVA
65195e6e-5921-a95c-e3fa-3d64b2d06f00,Paul Mears
8a8d492f-2196-65e3-d616-ec3b287b3a52,iSGS Investment Works
4d3aad79-7167-4a11-bad5-6fffb68f746e,Kelvn Zuma
1a5e2b84-d14d-4e2e-8edd-2f0d9a89c615,Diane Kole
b452a891-d6e8-4e40-960b-93a310c67f90,Alpha Praetorian Capital
8e103f93-79b5-ab40-c9e6-16e38ae2d2ce,Graham Weston
fc29c117-0fbc-7faf-33b5-72d91f7a7ee3,Southbox
d675620e-206f-c28d-84fa-86bff03983cc,Mazen Al Jubeir
320f9657-b6fe-4167-ae5d-1e61555dc930,Wve Ventures
4c9c0799-90ae-1c1b-d7a6-c951267d31db,Joe Green
8997aebb-d743-7a56-6e27-4e94fe4b6c80,Big Sur Ventures
15f80ed7-6259-4aa3-b3f9-2e6409586051,Ascend Capital Partners
6eb82e88-bea6-465a-96a1-c9ccc3907fa4,Fast Ventures
aee7ebce-3504-3e02-d0b2-49855d7bca76,Greg Hanson
fe77c492-1a8c-c375-2c9b-79a25f9b9b1d,Bronze Investments
54ce23ce-85d4-4f84-8107-aadaf5bf87a9,Next Capital
17caddd0-afc5-4f74-8cea-71195ada2f17,JDS Sports
dd253ee4-f003-4be1-9175-4fa4c32d2449,Donald Frankel
2866bdf9-fc60-79ed-e5f1-425f56c7ecca,Service Provider Capital
2204bb7a-99ba-4e99-8551-da254f6186bc,The March Group
5b78ab4d-a4d4-4c9b-a2e3-c738c15eab74,Spire Animation Studios
e96105f1-25d2-af8d-7ecb-3da5e2d8aef7,Alchemist Accelerator
8703d6e5-f8a3-c8db-76a9-9312b66572d3,Sam Lambert
673b6dcd-ac17-442c-9ba5-24b9431bd12d,FunFair Ventures
30eab86f-fff3-47d4-bf55-c4924955cbe4,AUFI
922ff44e-e6d3-4961-97da-1b1d7410c1da,The Faith Group
2a0e36c2-123c-9ea5-bd8d-75d8a558690f,Craig Hyde
0877f35d-b999-41f7-b07a-0764c31a7cb9,RTL Ventures
9a3598fc-5bf7-0912-a940-43051aacb756,NASA
8566b9cd-6b3e-30c5-14e3-298774b34dfd,Robert Gabel
e3e96b31-8a00-4384-8ed1-06105a0d08cf,Ryan Metzger
a425bcb9-65af-4bdf-9898-64a512975d1c,205 Capital
c6c19827-1e75-716c-510c-e232ed9724be,Adam Leibsohn
d9b637d8-db0e-0c78-0400-d7b8bc6ce6f8,NEXT Upstate
8ebc2b09-29aa-b84f-90e5-181533e4787a,Rich Heise
cba1aee3-f2a9-06f8-6558-9210a4186715,Tahoma Ventures
7391e509-0767-e71c-81cd-b51d7703314a,Tink Taylor
5c25bdcb-90c6-39a5-c273-1375961c9a14,Radar Partners
5e9fa287-6e34-47a0-acd6-03c5f304a816,Lupa Systems
03c01b54-10a2-c163-5fc2-d961be781b29,Justin Rosenstein
