investor_uuid,all_seed_startups,total_funding_usd_over_250M_no_ipo_no_acqusition,acquired_over_250M_raised_less_than_100M,ipo_count,success_rate
725247c1-aa8e-fd36-64fb-11c368190abf,28,6,0,0,21.43
b4895e54-8c20-b3af-2603-cf0a06304f0c,33,4,2,0,18.18
12571b76-23b4-0cae-871f-41b5191b8f3d,21,3,0,0,14.29
3213cd7d-06e0-3ecb-3359-29aa8deddfa6,21,2,1,0,14.29
27d3e99f-2961-349f-a2a4-b06ec36df584,22,2,1,0,13.64
9d05e67b-0154-8b9d-b3b9-cbea26e4ffd9,22,2,1,0,13.64
15ef24f8-1f34-7ca6-2894-27ff25898928,22,3,0,0,13.64
ed24f9ce-2313-cb8c-8ff2-9de6899ea992,22,3,0,0,13.64
e98345ec-cc19-bd4c-f502-affff6b3ec87,37,4,1,0,13.51
b1220fef-b074-4177-3a7b-0a442503e80b,23,3,0,0,13.04
ef213a11-f92b-b96f-fa9c-fd9807f2529d,24,3,0,0,12.5
0ddc4473-524d-f527-e327-7b9b31b861c2,25,3,0,0,12.0
8365a39b-5cc0-7d9c-6b10-9a03284d9fc0,25,2,1,0,12.0
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,25,3,0,0,12.0
cf0d8464-c30b-39cc-4de8-bf1fbdc58739,51,5,0,1,11.76
61d19fc5-3a69-e4f7-9a6d-83d4fb6a0212,34,4,0,0,11.76
ff389cac-9c07-40d4-8dd9-bd1c66095ed2,26,3,0,0,11.54
6c43d986-291f-0ed9-568c-80e0a433a862,27,2,0,1,11.11
7a42b564-4bb6-5864-6cdb-a0100008f3b3,28,2,1,0,10.71
602bb395-49b6-8aca-c8ea-6507975ead29,47,4,1,0,10.64
56f1d201-2896-83ad-d1bf-a75cdb05beac,57,3,1,2,10.53
dc8426b2-a91a-e53b-ab07-cf696ecf237c,29,3,0,0,10.34
eeb4b3e4-fa14-15e4-462a-d74dcb122f74,39,4,0,0,10.26
038f8cd4-7b1e-be6e-f45d-d952c14e6802,100,6,1,3,10.0
c1eff7aa-2934-0f7c-1f92-ac5061dbeb73,30,2,1,0,10.0
f2ff09b3-343c-67b1-2469-6ab0cfed43b9,42,2,2,0,9.52
eea0d807-964d-7134-3819-720d5f2910c3,42,3,1,0,9.52
5da62bfb-15c1-caac-ccba-178aa13673e2,21,1,0,1,9.52
444e4bfe-0931-de69-58fa-29e7b80de2d6,21,2,0,0,9.52
9585ab9a-b5e2-548f-be3c-6813fde735ea,21,1,0,1,9.52
e042a336-304b-0d89-af42-0020d7f4a307,21,1,1,0,9.52
77962dea-6a1f-7044-3093-c3bee1d1c292,21,1,0,1,9.52
04a54454-d94a-0aba-ddc8-474567d96c2a,21,2,0,0,9.52
0787c9d6-0c3e-60de-cd09-fd56d9828e1c,21,1,1,0,9.52
740e33cc-dea4-6fca-983f-c6b39591cd9f,21,1,0,1,9.52
f308c7d7-38d6-585a-4ddf-23709080061b,21,1,1,0,9.52
389f9a64-6028-ab43-3178-1fb92ea57284,21,2,0,0,9.52
1d174a2a-9f23-2979-0b22-1853ee2421a3,21,2,0,0,9.52
0c826165-94d7-a84a-0ea5-1b87988072f3,43,2,2,0,9.3
9dda8c60-3517-927f-0c15-4807e7bd6054,33,3,0,0,9.09
db273a22-bab0-4627-951c-04cb941d609f,33,3,0,0,9.09
1a3f81de-d5b2-0745-0c62-efaae40629d6,33,2,1,0,9.09
c0e55514-6e53-affd-2a23-a7de9e1d54ed,22,2,0,0,9.09
499caf73-6ff3-eec3-5e56-4484c7ca8f6e,22,2,0,0,9.09
ff3bca40-e819-c402-1ad8-5091e645a788,22,1,0,1,9.09
902deab4-ec41-68ce-d9df-c0c959578176,421,34,4,0,9.03
5a51b075-acb3-a8b9-7e71-6d2dd66def1a,45,4,0,0,8.89
69ba8866-c721-28e3-8b53-d10d81cece26,45,1,2,1,8.89
17e793e0-3238-3488-fd17-cc7fad2d3e05,34,2,1,0,8.82
2907e34e-15b2-ec8f-9815-f9f0b70e7235,34,2,1,0,8.82
07ea31ff-f7c9-1ae5-ccaf-7552b42408da,34,2,1,0,8.82
343a0c91-d3b9-80fa-2330-cfde495decf1,23,2,0,0,8.7
40eff8ab-95dd-5708-6a13-d444959a78c7,23,2,0,0,8.7
6b95ae8f-707d-dce2-23b0-035088898928,23,2,0,0,8.7
9de88f94-1bcf-4af8-be29-8aa15c0ed7d6,23,2,0,0,8.7
c8e0c690-e891-4115-bb57-5652199c8aeb,58,4,1,0,8.62
2d22deaf-521e-c8e2-2501-b9eeb4afbaca,35,3,0,0,8.57
b18dbd75-deab-9c4a-5ff6-c22e5ae36ff0,177,13,2,0,8.47
d5f94ef3-eed1-f673-bea4-be73afcd5fee,60,3,2,0,8.33
063c79a5-a008-493a-a633-913d64963b7e,36,3,0,0,8.33
8ea4648c-0b42-09a0-bfdd-2712317161b5,24,2,0,0,8.33
2e088b1e-86ae-4869-950c-59f84a97f96b,24,2,0,0,8.33
ad4e3101-a139-9a76-c34d-4d43bc565c33,49,3,1,0,8.16
a34c63f0-c277-3e4b-bbfc-1868ca81596d,49,3,1,0,8.16
85960076-7ede-7ff7-6fd3-ff261aff41ab,37,3,0,0,8.11
81100c64-28ae-fb21-13fc-99ea6a9ae38e,37,1,1,1,8.11
0ea85f02-96e1-5c42-feeb-b786ecab2939,50,3,1,0,8.0
a0fff4af-daff-56e5-80e1-d490f55afd4b,25,1,1,0,8.0
39e6ad18-504f-fde9-1eb0-f4825a9b24d2,65,5,0,0,7.69
467c04e8-580c-cefa-8d51-f2eb42ab0844,39,2,1,0,7.69
2b8999f8-3d0d-dbaa-8f19-7cac7041733a,39,2,1,0,7.69
0ef1fdde-b68f-4ee8-5589-6c4c941399bf,26,0,2,0,7.69
139ab82e-98dc-80d2-a03a-25696cc4e9a7,26,2,0,0,7.69
e2c04a2d-75b8-4067-91eb-1c1cefa334ef,26,2,0,0,7.69
9bef796d-d4af-48bb-9c64-f6d506896b27,26,2,0,0,7.69
ac83e966-cd61-c78d-afbf-ea824bbcdf91,66,5,0,0,7.58
aa316bb5-57a1-0492-f8c0-5043ef8931a3,53,4,0,0,7.55
262a1594-38ab-48b1-9373-f767d93bda7c,27,2,0,0,7.41
5fe42fd9-3c40-bc0b-7fda-66ea7976e4aa,27,2,0,0,7.41
2e9ee37e-9097-249d-2231-eec31561b7f5,27,2,0,0,7.41
8c32d322-2173-aa92-c6ff-2180d903632d,27,1,1,0,7.41
08ebf8ae-4acb-955c-02c5-305c0f470477,27,2,0,0,7.41
700514d7-8562-5f2d-671a-5634053420be,27,1,1,0,7.41
22b59b36-157d-4fcc-92fc-2f591c19bda9,27,1,1,0,7.41
23bc4b09-8059-567e-f5bd-390bbc329ded,27,1,1,0,7.41
cb00a695-dc5e-4d72-9515-d4e263c6a6ed,27,0,1,1,7.41
8c2904bd-f9a1-0f41-87db-16fae614ad2d,164,9,2,1,7.32
759ccd3b-a622-8d14-5656-86662013a1e6,41,2,1,0,7.32
4bbb1d63-8811-af76-a6ce-64387c26fbfb,41,3,0,0,7.32
86742bac-1934-8ad1-2190-3a1cca668505,42,3,0,0,7.14
b182b166-1ffc-387f-959b-5d222262b315,42,3,0,0,7.14
49a28987-e3db-f0de-2fdc-01933ca50c86,28,1,0,1,7.14
0828914d-9bf2-e8e7-ff51-2cdb98951135,28,1,0,1,7.14
f5315b3c-bb4c-1828-9b81-2f2103cdb761,85,6,0,0,7.06
308fb2fa-4610-0909-1d34-17216d007b21,57,4,0,0,7.02
f25b185e-9c1a-8180-3a56-660dae71d4c2,43,2,1,0,6.98
29c71687-1306-47f5-8a75-b7ad39d78315,43,3,0,0,6.98
40e3b902-7127-3d71-b67b-ec4a2207afe3,158,7,1,3,6.96
601b7406-93ac-1c61-019b-95f646ffe4b6,29,2,0,0,6.9
2796310b-3159-922a-9306-4bc91f7e1dab,29,2,0,0,6.9
72593a27-9bde-50d6-59a0-51c6ff56128b,29,2,0,0,6.9
d3184029-74d8-7e6c-717b-84ac89d0a837,29,2,0,0,6.9
15bbf79e-c017-5760-eda6-368e7f77b91e,73,3,1,1,6.85
d1fe2d6b-6051-027c-e4e2-586e93ac6b4a,44,3,0,0,6.82
08ae3e8b-0a49-47a3-91f8-433c3439736f,30,1,0,1,6.67
98ca74ba-00a3-a00e-ffac-09c5304af6ae,30,2,0,0,6.67
71cdd7fd-6686-4855-8a36-6a581b85c948,30,2,0,0,6.67
483ccaa3-d2f7-06ad-7175-efc85f445f1b,61,3,1,0,6.56
0c9a00aa-640a-4fb0-4fb7-196b33ada66b,46,3,0,0,6.52
473c465f-28d4-2568-c632-b2d5dd77c541,185,10,1,1,6.49
8299954e-85e7-a282-bb81-401838b8908b,31,2,0,0,6.45
f644352a-5dbd-1c0e-fe20-286831c0dbc0,63,4,0,0,6.35
c631111a-6bbd-c92b-c567-0ef2abc512d3,96,5,1,0,6.25
063bf170-ddb2-4041-8068-409fab18d502,32,2,0,0,6.25
89867673-815f-8605-652e-7c5362179782,32,1,1,0,6.25
f6a3df1b-7f7c-c517-b1d0-5441069dd097,32,2,0,0,6.25
355f3d08-b0a4-abe3-9503-9dc697bc8f37,32,2,0,0,6.25
0cc8c2db-bd08-4edb-5f2d-3bfc1837bdd1,32,2,0,0,6.25
48799440-ee04-35a0-1f7c-9ece8b4aa6ef,32,2,0,0,6.25
ebef92fa-c852-dd62-1027-9ac044521e35,162,7,2,1,6.17
dcfb1ae3-35b1-0bf2-0b3d-595031ab4507,115,6,0,1,6.09
3c62db15-4db8-016a-145e-dd1a06d168e2,99,4,2,0,6.06
a80524bc-d772-2f8b-f3d6-d564cd06a286,33,0,2,0,6.06
9da42114-b627-6926-f3b7-fd07e23fc337,250,13,2,0,6.0
3b2c6043-142e-453c-8087-cb94ae0ddd53,50,0,3,0,6.0
41bc890f-d559-0423-2da8-9eb869e5b65c,50,2,0,1,6.0
a3fec26e-0496-dbfa-38d0-188fe7f9d718,67,3,1,0,5.97
7de64040-14b2-70c3-775c-221d675b0af4,68,4,0,0,5.88
321aaefe-527e-a56e-85cd-641bd83cd866,51,2,0,1,5.88
d6198850-324e-4374-87fb-0c0cf9505c73,34,2,0,0,5.88
8a410ffe-5304-cf4f-5115-1e087f7006bc,34,2,0,0,5.88
3de3ceed-1a9f-b710-5c5e-494e218155a5,69,4,0,0,5.8
fd5f8542-5cd0-a991-b3bf-6b0d6faaeb0a,35,1,0,1,5.71
e81f7292-ab90-961d-3adc-35a46e237914,35,1,1,0,5.71
8a244cce-580c-5994-481c-03022c8b934e,35,2,0,0,5.71
3aabde79-36dd-df3e-7ef1-644d0a2105aa,35,2,0,0,5.71
7e7190a0-ec35-47f3-5c0f-6af756b95d5f,35,1,1,0,5.71
5dd2e0d7-9de9-0d42-33a3-430596a08948,35,2,0,0,5.71
252a9771-4387-472d-d062-be950cf652d5,35,1,0,1,5.71
c341cbc3-7419-7ddc-da42-2bbc7a03ef41,35,1,1,0,5.71
6c98aa6a-0383-ea74-c27c-996b38daa5ed,35,2,0,0,5.71
e7442a98-a043-dd5c-5def-ebcc56fb78ce,141,8,0,0,5.67
f065b291-ae61-41db-9475-3713a3da36d4,53,3,0,0,5.66
ddacc266-31cb-864c-5df8-94f401101652,71,4,0,0,5.63
1787528e-7bd3-a500-ba86-ac55205e7e21,71,3,1,0,5.63
0c867fde-2b9a-df10-fdb9-66b74f355f91,144,7,1,0,5.56
54e6b91c-bca3-4b98-61f0-d33bcd359a3e,36,2,0,0,5.56
043d9e52-dcc0-0dd8-6074-206e42e20e13,181,8,2,0,5.52
98c022ed-7618-e03e-ff49-8ba92924d58d,109,4,2,0,5.5
796e4250-e66a-1c7b-6ccf-5a4fbd3b1936,73,3,1,0,5.48
ae6c664c-4dd9-40b0-bd6f-2d13693deed4,37,2,0,0,5.41
f63055a5-a077-f7ad-2ace-9dbbac22a366,37,1,1,0,5.41
f2332abf-15c1-0213-9059-cc9714166bc7,37,1,0,1,5.41
fe5a4983-a46a-2fc2-5633-e35e0a86b694,167,7,1,1,5.39
639cbfc4-efa7-6e93-b6a3-68289b2ef7fd,56,3,0,0,5.36
b765a7e1-742a-e938-a0f2-329f66a011e4,131,5,2,0,5.34
47b84763-9727-7cdf-b194-2742e3963147,131,5,2,0,5.34
cf7d7212-adf8-25dc-53a4-f7c3c61afdbe,76,4,0,0,5.26
d379f22e-a728-97f4-a9c2-f9cd920afb76,38,1,1,0,5.26
bb0955c3-af0d-2d01-cd4f-985a93252432,77,4,0,0,5.19
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,234,10,2,0,5.13
e8b21bd7-927d-4add-ba72-8501d4ffe2dd,39,2,0,0,5.13
af778eb2-d12c-d953-7d7c-2e3bd5581cfe,99,5,0,0,5.05
735a53c6-a7ba-2434-d97d-b788536da89d,99,5,0,0,5.05
ce71834c-e90e-4e58-8b13-2d772375d781,60,3,0,0,5.0
827b9f49-e324-edb8-e546-8f2f4e69711a,40,2,0,0,5.0
