,founded_year,org_uuid,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_uuids
34632,2022,5b559da9-0178-4cd7-8663-5a368c31472f,"Developer Platform,Developer Tools,Software",Software,3750000.0,0,0,0,"4c2e47a8-03ea-4ef7-b0f7-2d35c9c0990f, ae6c664c-4dd9-40b0-bd6f-2d13693deed4, 386eb9bc-d8ae-2537-b5bd-534f14520ff3"
32147,2022,1670c6de-1bfc-440d-b637-ae91c2d5494c,"Career Planning,Human Resources,Recruiting","Administrative Services,Professional Services",8300000.0,0,0,0,"b08efc27-da40-505a-6f9d-c9e14247bf36, ce91bad7-b6d8-e56e-0f45-4763c6c5ca29, 9f0956f3-8a0c-4d93-aace-65f4ef54474f, 402c94e9-fd31-40ec-9ac7-608c88b3c4b0, 9dd4d3ee-8997-4a4c-bef2-7ea4f7527893, 7c3152ad-81b6-e113-68a0-bafd6a4e7068, f0f0695c-2ea1-be8f-aa87-4ef5fbe5752c, ea2b869f-3f31-4885-8964-ecd60a2c5077, 43e4d15e-74a8-4b4f-9b02-e2be69e7cee4, 7acdfc4e-10ab-47f3-9202-37e81cc46626, 7a3f9983-1839-4472-9984-0334ee28c33d, 8a168b8f-82a9-6952-e76e-fc8dc4636de5, 622ea501-b83f-7ce1-50f2-782889e5e457, 3b329dc6-3981-fae4-dd5d-292f014a64da"
34231,2022,ed24a65c-f10e-4c06-99c7-63daa5344a58,"Beauty,Cosmetics,E-Commerce,Wellness","Commerce and Shopping,Consumer Goods,Health Care",500000.0,0,0,0,4eca7424-2e1a-4314-af8f-6a04393c6190
33810,2022,a9e0fe45-fa8a-44b4-a3e6-b5a876ae6ea8,Analytics,Data and Analytics,500000.0,0,0,0,"ff074477-10b3-4a1a-b721-f31d22d66b6f, 3718597a-dd39-6661-3630-09cdd43bcac2"
34888,2023,b96df26a-6a17-400f-b8fe-16d032e70bf3,"Agriculture,AgTech,Forestry",Agriculture and Farming,,0,0,0,087db94f-4850-41cc-86ae-a46acbe78d2b
35577,2023,8a3b1aff-eb15-4866-bb0a-6da513b60eda,"Artificial Intelligence (AI),B2C,Developer Platform","Artificial Intelligence (AI),Data and Analytics,Other,Science and Engineering,Software",32000.0,0,0,0,61528fd8-84e8-4e93-bac1-61a1e9375bf8
35122,2023,ddbc32ab-7111-4bbe-a1ee-ad62a98fd7d5,"Automotive,Autonomous Vehicles",Transportation,3500000.0,0,0,0,"5ce3c6d1-5d6a-41d2-a13c-3322dac2fa68, 2d926e11-148e-6223-732b-1bdf739bbe9f, 34ec3a05-c405-9929-5ff6-b18ab93d620e"
36391,2023,ecc0e787-c851-4be0-9236-89594aa280be,"Cloud Infrastructure,Developer Tools,SaaS","Hardware,Internet Services,Software",150000.0,0,0,0,3718597a-dd39-6661-3630-09cdd43bcac2
34641,2022,40810b7f-e663-423d-94c5-ede48ffa294e,"Information Technology,Internet","Information Technology,Internet Services",250000.0,0,0,0,9bdae0c0-7eb4-c3d3-08eb-7014b093d938
34494,2022,ffca84c5-d146-4263-8fc1-45a77a611558,"Artificial Intelligence (AI),Information Technology,Productivity Tools","Artificial Intelligence (AI),Data and Analytics,Information Technology,Science and Engineering,Software",,0,0,0,e22df0f1-813e-4f6b-a64f-99f9ea2f0d34
32595,2022,9f58f362-c1e3-4896-a6ff-2e9c676e393b,"B2B,E-Commerce,Financial Services,FinTech","Commerce and Shopping,Financial Services,Other",1500000.0,0,0,0,"aca37eec-4ca0-408f-b89e-5f799af42edf, f2e76cf7-aedf-470e-8357-ecbcb763899e, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e"
33214,2022,8bfe3301-63a3-4fc7-b352-d6975c43dc50,"Finance,Financial Services",Financial Services,,0,0,0,d73cb521-e107-4b8a-826d-acfad65c5201
32213,2022,a90bd524-932e-4a54-9a22-a82adbf650b8,Service Industry,Other,,0,0,0,751350bb-27dd-4edb-ba4c-794b0449e8b4
