,pair,investment_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,scaled_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity,average_annualised_investment_count,success_bucket_pair,diversity_bucket_pair
"c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,0ddc4473-524d-f527-e327-7b9b31b861c2","c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,0ddc4473-524d-f527-e327-7b9b31b861c2",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.01953125,0.14081632653061216,0.1572299651567944,0.5555555555555556,"L5,L5","Focused,Balanced"
"bc3db502-f465-4fca-ada9-c2e574085e52,2229b80d-fd4e-4ef4-8b56-d32615e7b55f","bc3db502-f465-4fca-ada9-c2e574085e52,2229b80d-fd4e-4ef4-8b56-d32615e7b55f",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.02604166666666665,0.06046863189720325,0.12369337979094075,0.2777777777777778,"L5,L5","Focused,Diverse"
"e05899bf-0964-9b18-7116-0e1e6c460e8c,cbf72215-6a1c-f4ef-e17f-0a958eca3dac","e05899bf-0964-9b18-7116-0e1e6c460e8c,cbf72215-6a1c-f4ef-e17f-0a958eca3dac",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.06473214285714285,0.06349206349206339,0.12419113987058236,0.5,"L5,L5","Focused,Diverse"
"902deab4-ec41-68ce-d9df-c0c959578176,6ec44f42-6215-42c7-b69f-1abed2888a14","902deab4-ec41-68ce-d9df-c0c959578176,6ec44f42-6215-42c7-b69f-1abed2888a14",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.1734375,0.19088435374149654,0.18083623693379786,2.2777777777777777,"L5,L4","Specialized,Balanced"
"b2604fa2-02b6-3510-753d-b7b38a4bb062,961bcdba-7d88-43d5-9c8a-01cd8182aaa7","b2604fa2-02b6-3510-753d-b7b38a4bb062,961bcdba-7d88-43d5-9c8a-01cd8182aaa7",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.1080139372822299,0.1111111111111111,"L5,L5","Diverse,Diverse"
"68c46b8b-beaf-43c2-a979-49021b79f735,1219b8d5-bc12-13ed-fe60-280fc2544b44","68c46b8b-beaf-43c2-a979-49021b79f735,1219b8d5-bc12-13ed-fe60-280fc2544b44",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.1080139372822299,0.1111111111111111,"L5,L5","Diverse,Diverse"
"ff767495-7cde-41ab-88d7-d4c847a6ff89,53377857-8995-2128-8f85-bfc8c4a2178e","ff767495-7cde-41ab-88d7-d4c847a6ff89,53377857-8995-2128-8f85-bfc8c4a2178e",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.09014423076923075,0.2829234257805686,0.17287590458322166,1.5555555555555556,"L5,L5","Focused,Balanced"
"5f44eb69-ad9f-4114-a61b-12ae8af243a1,0c44ce09-fff6-4cad-a7a0-8583651d968b","5f44eb69-ad9f-4114-a61b-12ae8af243a1,0c44ce09-fff6-4cad-a7a0-8583651d968b",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.5625,0.0758276643990929,0.25156794425087103,0.33333333333333337,"L5,L1","Specialized,Focused"
"67317f84-ecc5-48b5-982f-1bd3db0e404f,1c51d5fc-96dd-4e71-8040-bc3a946bf29c","67317f84-ecc5-48b5-982f-1bd3db0e404f,1c51d5fc-96dd-4e71-8040-bc3a946bf29c",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.08208616780045346,0.18902439024390238,0.2777777777777778,"L5,L5","Focused,Focused"
"f8527641-abd1-4253-828e-e0d659b627b9,ea94f841-047d-4c56-825a-cdcbdd164202","f8527641-abd1-4253-828e-e0d659b627b9,ea94f841-047d-4c56-825a-cdcbdd164202",2,0.5,0.0,0.0,0.03125,0.03125,0.2727272727272727,0.0063100961538461505,0.12300715157858011,0.13873626373626374,1.1666666666666665,"L5,L5","Balanced,Balanced"
"dd8d3b14-84e6-4819-910a-070d9336fd2d,964ee110-1273-4684-8f8f-74703ee1e187","dd8d3b14-84e6-4819-910a-070d9336fd2d,964ee110-1273-4684-8f8f-74703ee1e187",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.056235827664399,0.1707317073170731,0.1111111111111111,"L5,L5","Focused,Focused"
