investor_uuid,investor_name,investment_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,proportional_broad_diversity,proportional_specific_diversity,weighted_success_rate,diversity_bucket,success_bucket
f8e1202d-e260-4ff9-8c6f-5c02eef1fa34,firedrop,1,2021,6,5,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.9375,Specialized,L1
e8de4e94-b48c-76f6-3770-aac7e51158f4,Point Nine,1,2021,6,5,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.9375,Specialized,L1
4ec367a2-faea-459a-93dd-dab0b1cdd3d4,Frst,1,2021,6,5,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.9375,Specialized,L1
43fdb8d4-a08a-0b8b-f925-adccc477019c,Brett Adcock,1,2021,6,4,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.24738675958188153,0.05623582766439909,6.0,4.0,0.9375,Specialized,L1
a3f7a80c-c51e-4c72-bbac-8eed4d5ba052,Coin Bureau,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
cf12f41b-b945-49e0-9465-59e25bb868b2,Block Space Force,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
d6879c32-dd23-4a5e-a715-b34b451183c6,Alliance,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
e5cdbbd1-7b86-486e-835f-dd699e63c9c0,Awaken Finance,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
0c44ce09-fff6-4cad-a7a0-8583651d968b,Zephyr Capital,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
0c11a9c2-7a54-471a-b7fe-eb5a03af245a,GCR Partners,1,2021,7,3,0.1111111111111111,1.0,1.0,1.0,0.2727272727272727,0.33797909407665505,0.030839002267573697,7.0,3.0,0.9375,Specialized,L1
