investor_uuid,all_startups,total_funding_usd_over_25M,success_rate
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,6,6,100.0
3dd1f213-972a-4340-a1e8-5c5d8e96aa13,7,6,85.71
cd730db2-a37f-0d5b-9b34-185edafe5017,6,5,83.33
e4b672d1-97f8-4bb1-6fbf-c0ca596e16d9,7,5,71.43
d0395d31-ba4c-b86a-c27e-b389d5a2c66f,9,6,66.67
fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,9,6,66.67
fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,9,6,66.67
70db5de1-7334-d744-5e6d-31c9e3b8d764,9,6,66.67
52652f4d-581e-4ad5-9d06-b1b250a333cd,6,4,66.67
15713cce-e5a7-931a-f0ad-ff15b477d6b1,6,4,66.67
f00c3679-6bc4-b3d7-3a30-ab5a03fcbd82,6,4,66.67
c5441c1b-8b8f-86f5-ca31-9aa050613454,8,5,62.5
ac46ba18-1c1c-44dd-852c-cc51a519c023,10,6,60.0
add1bcfe-41e3-7828-253b-d7c8694ed4ca,12,7,58.33
157ba673-82f5-8ed7-27da-d358063c3cbd,12,7,58.33
af5a73b9-09d0-838c-5167-7886eedfa714,14,8,57.14
c2734f97-0d98-44e1-a75a-1de6883fb535,7,4,57.14
6c97e88a-4e7f-6433-d3ed-73e7bd62b473,7,4,57.14
8ea4648c-0b42-09a0-bfdd-2712317161b5,7,4,57.14
26ba69c7-0573-3925-29fd-05fc5caeb60d,7,4,57.14
46dc594f-7dc0-4988-805f-155e8b686a12,7,4,57.14
8410918c-6562-4d79-909f-8b2f19695968,9,5,55.56
8365a39b-5cc0-7d9c-6b10-9a03284d9fc0,9,5,55.56
e98345ec-cc19-bd4c-f502-affff6b3ec87,9,5,55.56
ff04e6ba-d950-4cd3-bf4d-1ab19d054483,14,7,50.0
2796310b-3159-922a-9306-4bc91f7e1dab,12,6,50.0
0bdb81c9-c8ad-6136-5ede-5a9ecdbdf21e,10,5,50.0
106f66ba-1f36-b2b8-6678-dc874136d847,10,5,50.0
c2e75024-70cf-4275-b92e-e0b3daaf7113,10,5,50.0
86c95665-ed3e-4f6d-b515-edf9adeed26e,8,4,50.0
15768644-8bbf-473f-acfd-361b3cb360cd,8,4,50.0
8385e30d-9f21-5417-23b5-9e1ace34f239,8,4,50.0
1c2279a7-1a69-4027-8569-4f99819a060f,8,4,50.0
24c4e6b5-62dc-4f68-926c-2babb21ca47c,8,4,50.0
6d60e755-c96d-4959-a039-a23e004c7f52,8,4,50.0
564bdcf3-8bf7-4040-dac2-072af3e72e6f,8,4,50.0
b5d62d6d-4359-3651-f1c4-88fffa1c8472,8,4,50.0
38f7c560-434f-4ee0-b5c9-745032ea7ea9,8,4,50.0
ab19cab2-1d08-d898-684e-3882626bdde8,6,3,50.0
fb35431d-b692-499d-8df7-33fa83a5f5c4,6,3,50.0
31d533f0-f982-33d6-62b6-3ee2b9257d30,6,3,50.0
5f623206-6368-4b4c-c6cf-055d39afb996,6,3,50.0
b79cc343-66e4-49be-a0c2-683c23194049,6,3,50.0
746ef649-e826-c7e9-9692-9cddbf21aff4,6,3,50.0
f88fffe4-06f9-4f6d-8680-3e6bdf7d7d6e,6,3,50.0
ebd0b943-c6d4-4a7f-b50a-d321849fc44e,6,3,50.0
46a4b2ae-f9f5-de19-3c98-2cbb15916e55,6,3,50.0
d5002f1e-ed0d-2ac7-6831-69731c8ad8e1,23,11,47.83
e2006571-6b7a-e477-002a-f7014f48a7e3,38,18,47.37
a93256dc-c256-4c16-93ef-318efb76ef65,13,6,46.15
3660b657-5885-dcf3-0b74-43df9483482e,11,5,45.45
7a42b564-4bb6-5864-6cdb-a0100008f3b3,11,5,45.45
27102149-bcba-9816-0657-a3f0414c2486,9,4,44.44
ac3cacf9-284a-4313-bd61-8a3defa858c5,9,4,44.44
47cb844b-40a0-7e00-8d81-a18d9c61e52d,9,4,44.44
a934eadd-65f2-4c08-9be7-51dad523dd2c,9,4,44.44
7316caff-465d-f5da-f881-6bae7f0812b8,9,4,44.44
60b5dade-24ed-84b0-99e2-1ecda554a1ab,50,22,44.0
ac83e966-cd61-c78d-afbf-ea824bbcdf91,25,11,44.0
c40189cd-74f7-6f4a-884b-e8d2e2862d86,57,25,43.86
94dc1b76-9cf6-49ce-bce8-20c8a005d074,14,6,42.86
a80524bc-d772-2f8b-f3d6-d564cd06a286,14,6,42.86
f3c4d672-6ae9-df8d-d87a-145b50947088,7,3,42.86
0ddfc43b-28d7-ea43-3b33-6c97dc7f6d35,7,3,42.86
4fb06773-cc2e-e481-b629-3b8d30121b56,7,3,42.86
649da6aa-5181-01ad-7e0e-f1ff54321886,7,3,42.86
9443f9ec-f21b-6011-51f3-a0504da8d760,7,3,42.86
52f9cbac-8615-4604-a81a-56ecf4ed701d,7,3,42.86
0423aec1-220b-6cf5-bb0b-20ede452bf87,7,3,42.86
6b35321b-2180-8bdb-68e3-ee829b8eb43f,7,3,42.86
392a13de-d426-4643-aea8-316800c20edc,7,3,42.86
7a622e3e-d8f3-4f66-90d5-96616c73806b,7,3,42.86
756710c2-c2a0-53b8-20b8-b408b8eca7ee,7,3,42.86
93532aa9-f20e-4777-b78e-84e4e40a1b17,19,8,42.11
85960076-7ede-7ff7-6fd3-ff261aff41ab,24,10,41.67
cbf72215-6a1c-f4ef-e17f-0a958eca3dac,24,10,41.67
6e8bbda5-90f1-abbf-6c31-e8de53ef5473,12,5,41.67
0159561f-be5d-81eb-7ccd-b4d6efeb30fc,12,5,41.67
ed3cf4ed-3117-0977-0aeb-adf4a6105e15,12,5,41.67
262a1594-38ab-48b1-9373-f767d93bda7c,20,8,40.0
25b2bfea-fc6c-b54e-2466-023430185425,15,6,40.0
a4035d07-eee1-bde0-7d16-e3a9b39b457f,15,6,40.0
ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,10,4,40.0
c2f6c5c7-c016-4182-b409-f2176c7fdbab,10,4,40.0
8517528a-0842-d8cb-26df-535b4eb700d2,10,4,40.0
60d53989-5a9f-472d-acd2-2eb5343dd8d2,10,4,40.0
ed8ccd6c-4aff-428c-b35b-e671d8b0d52e,10,4,40.0
e5690179-d9e7-1d19-10ff-6353c9884afb,10,4,40.0
8dec8050-73a9-2943-dac3-830e705f9f1b,10,4,40.0
d41a176d-2d63-8120-abdd-09962ffac419,28,11,39.29
9bef796d-d4af-48bb-9c64-f6d506896b27,23,9,39.13
e8db05ed-6b48-9b54-e746-2f140dcc94be,23,9,39.13
1d174a2a-9f23-2979-0b22-1853ee2421a3,13,5,38.46
77751b3b-e74c-4a7f-ac5d-d041b4ab686e,13,5,38.46
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,162,62,38.27
eb5b0d40-2e5a-b14e-a482-5e745fc9d9b9,21,8,38.1
982a5418-5d06-aca1-726e-c55bd12d1bf2,16,6,37.5
499caf73-6ff3-eec3-5e56-4484c7ca8f6e,16,6,37.5
66e40cf4-9685-ff3b-b5a7-0d43cc45eefb,8,3,37.5
30c19dc4-e630-7a27-2d3c-c11496ff525e,8,3,37.5
3a476a62-d930-8aab-041d-cfe5e45a679a,8,3,37.5
9a1b182c-e074-237b-af32-0c2637ba4755,8,3,37.5
82446a6d-aea5-cb5e-54e1-782bc7285b6b,8,3,37.5
cbab0a4f-c16a-d913-e06a-2eac1ba43be1,8,3,37.5
32109616-7db2-d24b-be8e-59796c1b3cde,8,3,37.5
84773d22-1c0f-4138-b298-9c40295ebcad,8,3,37.5
cf3a40e6-920e-edfd-569e-371f84e0a4e4,8,3,37.5
42dea77f-97a6-f948-d4e6-49b843580d3c,8,3,37.5
700514d7-8562-5f2d-671a-5634053420be,8,3,37.5
91bca022-0bb3-4091-b93f-4c47f57e1077,8,3,37.5
341ce54e-7997-4262-94ba-c90692135cee,8,3,37.5
b046ed22-3463-4f93-b06c-3de168822ee9,8,3,37.5
e726500c-cde8-4fac-99e9-45d26936e489,8,3,37.5
f171f9f2-369e-70f0-7ba2-3f0d1c22444e,8,3,37.5
6bbee73e-72ca-be5f-9cd2-ddc54a8b237f,8,3,37.5
9560dfd2-25c4-4400-b58c-03893bc90c90,8,3,37.5
aa978289-a0e0-8e2d-9db1-537203f28e62,35,13,37.14
3c62db15-4db8-016a-145e-dd1a06d168e2,46,17,36.96
17766aa6-2da1-c1eb-d14d-2277ae1f34c7,52,19,36.54
