org_uuid,name
dfab8431-450f-90c7-a8d4-80b77a878532,SalesRabbit
0ab14eb8-82ba-7619-bfae-17e43bdd82f0,Novi Security Inc.
958b6ee0-c496-d68b-8f4c-5697e024d62e,Ubidots
3eac5ce7-020b-429d-b1b8-f90080396b84,Celesstia Health
c14a842e-12b5-c12f-e2af-cd9cd3ab4630,Vicci Mobile Merch
cd1543c5-9b2f-2442-7338-0a09aa158fae,Pivit Labs
54df4d63-3f28-9490-de23-2e58924e93af,Toutpost
cfa1623b-88eb-9461-acf3-af33c217f4d0,Abroaders
8e6996f7-8f57-3153-7483-d68810b01973,LawnStarter
7533d7b6-90c5-e235-f79d-a290f8e8b783,CognitiveScale
487ac277-daec-62fd-aa89-7c9f9629a023,Livewire
ae035bfc-8a03-d533-56c9-ed756c477413,Concrete Sensors
ef1c2c58-3a8c-e680-9c53-7e8f85c4177a,MarketMuse
aaf639fc-62f0-3dd5-0f63-e50eb783b6cb,Gameface Media
097baaa2-42d8-47a0-8f56-7a061931b12e,Biometry
5bdaecd0-f5e5-4838-b097-51ec615d35de,College Interactive (f.k.a. Xinteractive Inc.)
3bf0a343-451d-6198-d818-0695136462b4,Realync
117e4252-49b0-2fea-8717-bd9a568a7e9b,Hostspot
81901e37-83d9-458c-9c4b-99917ab19917,Grow with the Flow Aquaponic Horticulture
fe02c025-8e38-a1d2-c42d-1ec166e72354,StatusPage
abd6fe87-7b78-4fd8-03f1-06ece2fcc3dc,Evernym
0fa81e32-22ea-0995-da52-f0cffd0f9e65,410 Medical
f70643c7-1ffd-9b99-528e-b39dbcd11929,BT Biotech
8d194199-28af-90fa-6de9-cc506a4f390a,Bushel Box
312b2978-a0a0-9d94-28c7-e8d594c7f170,KidSense
f6a12e75-1528-44e3-a4e7-a6e9882b2834,Kadho Sports
cf7002f0-dc40-4707-9fb9-f084af427550,Rovier
c111462f-d4de-5110-a861-41408d8d3c8d,Orange Glad
f910a326-676e-5c97-e518-cfe58070213e,Burbio.com
bbdfe484-1b91-4d56-468a-78ca4d3c6490,Safely
