founded_year,org_uuid,name_x,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_names,investor_uuids,name_y
2013,d9695ff5-9d4a-46c8-82c0-8abc9df011bd,GARDEN BAR,,,,0,0,0,Elevate Capital,f4ed7d4a-4872-84cd-c340-5ab748230eb3,GARDEN BAR
2013,94a689ca-5adf-46d2-929f-dfa3a1a26dfb,GYFTS,,,722000.0,0,0,0,BFS Partners Inc.,9e060c8d-4d29-480b-b77d-4af708992f5a,GYFTS
2013,54f3eb38-b40c-9227-64c0-cb7f1822720f,Dalia,,,8500000.0,0,0,0,"IBB Ventures, Saarbruecker 21, Wellington Partners, WestTech Ventures","ebbe2742-6293-a0f8-633c-73c5b555422c, 7023de9f-0cc4-0741-551b-5c6e134c0c3a, 01a1fa1f-c36c-91c2-3572-1b8c51796a7b, f5f8bbe4-e2a6-9f42-9c30-868859b02a5a",Dalia
2013,93750adf-84d5-c471-9886-37da157e0f14,Maka Brew,,,,0,0,0,Starve Ups,08a35501-574b-8494-c116-00049b374af7,Maka Brew
2013,776603d3-45b5-4766-a240-d1f8d06fcefb,California Cannabis Industry Association (CCIA),,,,0,0,0,Big Rock,85ef648f-e8f1-d472-9e52-f7be20419065,California Cannabis Industry Association (CCIA)
2013,f0888bcb-2292-4bec-a913-9154cc632052,Hifi Finance,,,120500.0,0,0,0,Techstars,3718597a-dd39-6661-3630-09cdd43bcac2,Hifi Finance
2013,72182610-09e9-d955-405f-01d1be4ff9ac,UNIFi Software,,,49000000.0,0,0,0,"Canaan Partners, Omaha Capital","26bcf130-4aa8-a3b3-3571-1b8f13143370, 38bf5998-f14f-0550-2388-fbbc0ad5e299",UNIFi Software
2013,afffcbdc-2bc8-4f28-b130-e22a4094862c,Solutions Journalism Network,,,,0,0,0,The Draper Richards Kaplan Foundation,7e813b29-fdc1-068d-efd2-cd53da320be6,Solutions Journalism Network
2013,749e3536-fe57-43dd-be6f-cdbaaf38745a,The Human Development Company,,,,0,0,0,Slow Ventures,ec7c19d9-e059-98a7-417a-66761eab14b0,The Human Development Company
2013,1bb56cc8-032a-b1cd-b0ea-5e8cef76f34a,Light Dance,,,,0,0,0,Starve Ups,08a35501-574b-8494-c116-00049b374af7,Light Dance
2013,565e7307-f4da-560c-6ca3-a789dbee7913,Morsel Labs,,,,0,0,0,Amicus Capital,a6cac8b9-7532-ae90-21ae-98ec5e229efd,Morsel Labs
